	company	link	location	title
90	i.e. Marketing Group	https://www.linkedin.com/jobs/view/494868967?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A7%2CMSRPsearchId%3A8052e2d1-2b78-4717-8772-77c9b42f59f0&refId=8052e2d1-2b78-4717-8772-77c9b42f59f0&trk=jobs_jserp_job_listing_text	Lakewood, OH, USMore Lakewood jobs >	Sports Marketing - Marketing Coordinator - Entry Level
91	Brandmuscle	https://www.linkedin.com/jobs/view/483856074?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A24%2CMSRPsearchId%3A8052e2d1-2b78-4717-8772-77c9b42f59f0&refId=8052e2d1-2b78-4717-8772-77c9b42f59f0&trk=jobs_jserp_job_listing_text	Cleveland, OhioMore Cleveland jobs >	Marketing Coordinator - Events & Media
92	The DMA	https://www.linkedin.com/jobs/view/493684959?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A25%2CMSRPsearchId%3A8052e2d1-2b78-4717-8772-77c9b42f59f0&refId=8052e2d1-2b78-4717-8772-77c9b42f59f0&trk=jobs_jserp_job_listing_text	Mayfield Heights, OH, USMore Cleveland jobs >	Marketing Manager
93	Kharismatic Solutions, Inc.	https://www.linkedin.com/jobs/view/453207991?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A21%2CMSRPsearchId%3A8052e2d1-2b78-4717-8772-77c9b42f59f0&refId=8052e2d1-2b78-4717-8772-77c9b42f59f0&trk=jobs_jserp_job_listing_text	Independence, OH, USMore Independence jobs >	Sports Minded Entry Level Marketing And Advertising Associate
94	Score Marketing, Inc	https://www.linkedin.com/jobs/view/484971924?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A22%2CMSRPsearchId%3A8052e2d1-2b78-4717-8772-77c9b42f59f0&refId=8052e2d1-2b78-4717-8772-77c9b42f59f0&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Entry Level Management/Marketing - College Grads Welcomed
95	Bendix Commercial Vehicles Systems LLC	https://www.linkedin.com/jobs/view/493816052?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A23%2CMSRPsearchId%3A8052e2d1-2b78-4717-8772-77c9b42f59f0&refId=8052e2d1-2b78-4717-8772-77c9b42f59f0&trk=jobs_jserp_job_listing_text	Elyria, OH, USMore Elyria jobs >	Marketing Coop Spring
96	G.O.C., S/A	https://www.linkedin.com/jobs/view/491776068?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A1%2CMSRPsearchId%3A8052e2d1-2b78-4717-8772-77c9b42f59f0&refId=8052e2d1-2b78-4717-8772-77c9b42f59f0&trk=jobs_jserp_job_listing_text	Brecksville, OH, USMore Brecksville jobs >	Marketing and Graphic Internship
97	Fathom Marketing	https://www.linkedin.com/jobs/view/491719685?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A2%2CMSRPsearchId%3A8052e2d1-2b78-4717-8772-77c9b42f59f0&refId=8052e2d1-2b78-4717-8772-77c9b42f59f0&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Marketing Automation Strategist
98	Kichler Lighting	https://www.linkedin.com/jobs/view/493680541?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A3%2CMSRPsearchId%3A8052e2d1-2b78-4717-8772-77c9b42f59f0&refId=8052e2d1-2b78-4717-8772-77c9b42f59f0&trk=jobs_jserp_job_listing_text	Independence, OH, USMore Independence jobs >	Marketing Communications Specialist
99	industrial	https://www.linkedin.com/jobs/view/494008864?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A4%2CMSRPsearchId%3A8052e2d1-2b78-4717-8772-77c9b42f59f0&refId=8052e2d1-2b78-4717-8772-77c9b42f59f0&trk=jobs_jserp_job_listing_text	Mayfield Heights, OH, USMore Cleveland jobs >	Marketing Analyst
100	Exit Planning Institute	https://www.linkedin.com/jobs/view/491905344?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A12%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Marketing Coordinator
101	MeyerDC	https://www.linkedin.com/jobs/view/494380249?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A13%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Hudson, OH, USMore Hudson jobs >	Content Marketing Manager
102	ABB	https://www.linkedin.com/jobs/view/456490532?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A14%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Cleveland, OH, USMore Cleveland jobs >	Marketing Co-op
103	State Industrial Products	https://www.linkedin.com/jobs/view/488586730?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A15%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Marketing Analyst
104	Marcus & Millichap	https://www.linkedin.com/jobs/view/442083915?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A16%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Cleveland, OhioMore Cleveland jobs >	Marketing Coordinator
105	LeafFilter Gutter Protection	https://www.linkedin.com/jobs/view/488628937?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A17%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Hudson, OhioMore Hudson jobs >	Marketing Automation Specialist
106	Lakeside Events	https://www.linkedin.com/jobs/view/453205993?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A18%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Cleveland, OH, USMore Cleveland jobs >	Assistant Brand Manager ( Marketing / Public Relations )
107	The Job Network	https://www.linkedin.com/jobs/view/449661608?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A19%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Avon, OH, USMore Avon jobs >	Marketing Specialist
108	Schneider Saddlery	https://www.linkedin.com/jobs/view/477032820?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A20%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Chagrin Falls, OhioMore Chagrin Falls jobs >	Marketing Manager - Direct Marketing
109	Kharismatic Solutions, Inc.	https://www.linkedin.com/jobs/view/453207991?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A21%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Independence, OH, USMore Independence jobs >	Sports Minded Entry Level Marketing And Advertising Associate
110	Score Marketing, Inc	https://www.linkedin.com/jobs/view/484971924?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A22%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Entry Level Management/Marketing - College Grads Welcomed
111	Bendix Commercial Vehicles Systems LLC	https://www.linkedin.com/jobs/view/493816052?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A23%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Elyria, OH, USMore Elyria jobs >	Marketing Coop Spring
112	Brandmuscle	https://www.linkedin.com/jobs/view/483856074?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A24%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Cleveland, OhioMore Cleveland jobs >	Marketing Coordinator - Events & Media
113	The DMA	https://www.linkedin.com/jobs/view/493684959?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A25%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Mayfield Heights, OH, USMore Cleveland jobs >	Marketing Manager
114	TPC Wire & Cable Corp.	https://www.linkedin.com/jobs/view/490114830?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A10%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Macedonia, OH, USMore Macedonia jobs >	Marketing Communications Specialist
115	Forest City Consulting Inc	https://www.linkedin.com/jobs/view/407293120?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A11%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Entry Level Business Consultant | Marketing Account Executive
116	G.O.C., S/A	https://www.linkedin.com/jobs/view/491776068?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A1%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Brecksville, OH, USMore Brecksville jobs >	Marketing and Graphic Internship
117	Fathom Marketing	https://www.linkedin.com/jobs/view/491719685?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A2%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Marketing Automation Strategist
118	Kichler Lighting	https://www.linkedin.com/jobs/view/493680541?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A3%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Independence, OH, USMore Independence jobs >	Marketing Communications Specialist
119	industrial	https://www.linkedin.com/jobs/view/494008864?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A4%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Mayfield Heights, OH, USMore Cleveland jobs >	Marketing Analyst
120	PROGRESSIVE CASUALTY INSURANCE CO	https://www.linkedin.com/jobs/view/493732923?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A8%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Mayfield, OH, USMore Cleveland jobs >	Marketing Process Analyst Senior to Marketing Process Analyst Lead
121	Summit Retail Solutions Inc.	https://www.linkedin.com/jobs/view/490120109?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A9%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Brunswick, OH, USMore Brunswick jobs >	Event Marketing Assistant - Marketing, Promotions & Public Relations
122	Safeguard Properties	https://www.linkedin.com/jobs/view/489684977?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A5%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Marketing Specialist
123	Hunter International Recruiting	https://www.linkedin.com/jobs/view/435442901?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A6%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Avon, OhioMore Avon jobs >	Product Marketing Specialist
124	i.e. Marketing Group	https://www.linkedin.com/jobs/view/494868967?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A7%2CMSRPsearchId%3A9c067a00-e355-4128-9b27-e3bcb9c05300&refId=9c067a00-e355-4128-9b27-e3bcb9c05300&trk=jobs_jserp_job_listing_text	Lakewood, OH, USMore Lakewood jobs >	Sports Marketing - Marketing Coordinator - Entry Level
125	G.O.C., S/A	https://www.linkedin.com/jobs/view/491776068?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A1%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Brecksville, OH, USMore Brecksville jobs >	Marketing and Graphic Internship
126	Fathom Marketing	https://www.linkedin.com/jobs/view/491719685?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A2%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Marketing Automation Strategist
127	Kichler Lighting	https://www.linkedin.com/jobs/view/493680541?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A3%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Independence, OH, USMore Independence jobs >	Marketing Communications Specialist
128	industrial	https://www.linkedin.com/jobs/view/494008864?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A4%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Mayfield Heights, OH, USMore Cleveland jobs >	Marketing Analyst
129	Safeguard Properties	https://www.linkedin.com/jobs/view/489684977?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A5%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Marketing Specialist
130	Hunter International Recruiting	https://www.linkedin.com/jobs/view/435442901?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A6%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Avon, OhioMore Avon jobs >	Product Marketing Specialist
131	i.e. Marketing Group	https://www.linkedin.com/jobs/view/494868967?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A7%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Lakewood, OH, USMore Lakewood jobs >	Sports Marketing - Marketing Coordinator - Entry Level
132	PROGRESSIVE CASUALTY INSURANCE CO	https://www.linkedin.com/jobs/view/493732923?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A8%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Mayfield, OH, USMore Cleveland jobs >	Marketing Process Analyst Senior to Marketing Process Analyst Lead
133	Summit Retail Solutions Inc.	https://www.linkedin.com/jobs/view/490120109?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A9%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Brunswick, OH, USMore Brunswick jobs >	Event Marketing Assistant - Marketing, Promotions & Public Relations
