	company	link	location	title
134	TPC Wire & Cable Corp.	https://www.linkedin.com/jobs/view/490114830?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A10%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Macedonia, OH, USMore Macedonia jobs >	Marketing Communications Specialist
135	Forest City Consulting Inc	https://www.linkedin.com/jobs/view/407293120?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A11%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Entry Level Business Consultant | Marketing Account Executive
136	Exit Planning Institute	https://www.linkedin.com/jobs/view/491905344?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A12%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Marketing Coordinator
137	MeyerDC	https://www.linkedin.com/jobs/view/494380249?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A13%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Hudson, OH, USMore Hudson jobs >	Content Marketing Manager
138	ABB	https://www.linkedin.com/jobs/view/456490532?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A14%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Cleveland, OH, USMore Cleveland jobs >	Marketing Co-op
139	State Industrial Products	https://www.linkedin.com/jobs/view/488586730?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A15%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Marketing Analyst
140	Marcus & Millichap	https://www.linkedin.com/jobs/view/442083915?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A16%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Cleveland, OhioMore Cleveland jobs >	Marketing Coordinator
141	LeafFilter Gutter Protection	https://www.linkedin.com/jobs/view/488628937?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A17%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Hudson, OhioMore Hudson jobs >	Marketing Automation Specialist
142	Lakeside Events	https://www.linkedin.com/jobs/view/453205993?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A18%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Cleveland, OH, USMore Cleveland jobs >	Assistant Brand Manager ( Marketing / Public Relations )
143	The Job Network	https://www.linkedin.com/jobs/view/449661608?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A19%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Avon, OH, USMore Avon jobs >	Marketing Specialist
144	Schneider Saddlery	https://www.linkedin.com/jobs/view/477032820?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A20%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Chagrin Falls, OhioMore Chagrin Falls jobs >	Marketing Manager - Direct Marketing
145	Kharismatic Solutions, Inc.	https://www.linkedin.com/jobs/view/453207991?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A21%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Independence, OH, USMore Independence jobs >	Sports Minded Entry Level Marketing And Advertising Associate
146	Score Marketing, Inc	https://www.linkedin.com/jobs/view/484971924?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A22%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Entry Level Management/Marketing - College Grads Welcomed
147	Bendix Commercial Vehicles Systems LLC	https://www.linkedin.com/jobs/view/493816052?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A23%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Elyria, OH, USMore Elyria jobs >	Marketing Coop Spring
148	Brandmuscle	https://www.linkedin.com/jobs/view/483856074?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A24%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Cleveland, OhioMore Cleveland jobs >	Marketing Coordinator - Events & Media
149	The DMA	https://www.linkedin.com/jobs/view/493684959?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A25%2CMSRPsearchId%3Af7bf5dd1-b7c9-4507-9083-e7f82175b1dd&refId=f7bf5dd1-b7c9-4507-9083-e7f82175b1dd&trk=jobs_jserp_job_listing_text	Mayfield Heights, OH, USMore Cleveland jobs >	Marketing Manager
150	Exit Planning Institute	https://www.linkedin.com/jobs/view/491905344?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A12%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Marketing Coordinator
151	MeyerDC	https://www.linkedin.com/jobs/view/494380249?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A13%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Hudson, OH, USMore Hudson jobs >	Content Marketing Manager
152	Summit Retail Solutions Inc.	https://www.linkedin.com/jobs/view/490120109?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A9%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Brunswick, OH, USMore Brunswick jobs >	Event Marketing Assistant - Marketing, Promotions & Public Relations
153	TPC Wire & Cable Corp.	https://www.linkedin.com/jobs/view/490114830?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A10%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Macedonia, OH, USMore Macedonia jobs >	Marketing Communications Specialist
154	Forest City Consulting Inc	https://www.linkedin.com/jobs/view/407293120?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A11%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Entry Level Business Consultant | Marketing Account Executive
155	i.e. Marketing Group	https://www.linkedin.com/jobs/view/494868967?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A7%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Lakewood, OH, USMore Lakewood jobs >	Sports Marketing - Marketing Coordinator - Entry Level
156	PROGRESSIVE CASUALTY INSURANCE CO	https://www.linkedin.com/jobs/view/493732923?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A8%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Mayfield, OH, USMore Cleveland jobs >	Marketing Process Analyst Senior to Marketing Process Analyst Lead
157	industrial	https://www.linkedin.com/jobs/view/494008864?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A4%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Mayfield Heights, OH, USMore Cleveland jobs >	Marketing Analyst
158	Safeguard Properties	https://www.linkedin.com/jobs/view/489684977?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A5%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Marketing Specialist
159	Hunter International Recruiting	https://www.linkedin.com/jobs/view/435442901?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A6%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Avon, OhioMore Avon jobs >	Product Marketing Specialist
160	G.O.C., S/A	https://www.linkedin.com/jobs/view/491776068?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A1%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Brecksville, OH, USMore Brecksville jobs >	Marketing and Graphic Internship
161	Fathom Marketing	https://www.linkedin.com/jobs/view/491719685?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A2%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Marketing Automation Strategist
162	Kichler Lighting	https://www.linkedin.com/jobs/view/493680541?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A3%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Independence, OH, USMore Independence jobs >	Marketing Communications Specialist
163	The DMA	https://www.linkedin.com/jobs/view/493684959?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A25%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Mayfield Heights, OH, USMore Cleveland jobs >	Marketing Manager
164	Bendix Commercial Vehicles Systems LLC	https://www.linkedin.com/jobs/view/493816052?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A23%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Elyria, OH, USMore Elyria jobs >	Marketing Coop Spring
165	Brandmuscle	https://www.linkedin.com/jobs/view/483856074?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A24%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Cleveland, OhioMore Cleveland jobs >	Marketing Coordinator - Events & Media
166	ABB	https://www.linkedin.com/jobs/view/456490532?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A14%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Cleveland, OH, USMore Cleveland jobs >	Marketing Co-op
167	State Industrial Products	https://www.linkedin.com/jobs/view/488586730?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A15%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Marketing Analyst
168	Marcus & Millichap	https://www.linkedin.com/jobs/view/442083915?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A16%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Cleveland, OhioMore Cleveland jobs >	Marketing Coordinator
169	LeafFilter Gutter Protection	https://www.linkedin.com/jobs/view/488628937?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A17%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Hudson, OhioMore Hudson jobs >	Marketing Automation Specialist
170	Lakeside Events	https://www.linkedin.com/jobs/view/453205993?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A18%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Cleveland, OH, USMore Cleveland jobs >	Assistant Brand Manager ( Marketing / Public Relations )
171	The Job Network	https://www.linkedin.com/jobs/view/449661608?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A19%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Avon, OH, USMore Avon jobs >	Marketing Specialist
172	Schneider Saddlery	https://www.linkedin.com/jobs/view/477032820?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A20%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Chagrin Falls, OhioMore Chagrin Falls jobs >	Marketing Manager - Direct Marketing
173	Kharismatic Solutions, Inc.	https://www.linkedin.com/jobs/view/453207991?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A21%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Independence, OH, USMore Independence jobs >	Sports Minded Entry Level Marketing And Advertising Associate
174	Score Marketing, Inc	https://www.linkedin.com/jobs/view/484971924?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A22%2CMSRPsearchId%3A4ed035e9-3ba9-4b71-87b5-0668bd3fc098&refId=4ed035e9-3ba9-4b71-87b5-0668bd3fc098&trk=jobs_jserp_job_listing_text	Cleveland/Akron, Ohio AreaMore Cleveland jobs >	Entry Level Management/Marketing - College Grads Welcomed
175	Operation Smile	https://www.linkedin.com/jobs/view/489635070?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A25%2CMSRPsearchId%3Af32c2175-ce9a-4fa2-854b-6374b92c9a50&refId=f32c2175-ce9a-4fa2-854b-6374b92c9a50&trk=jobs_jserp_job_listing_text	Cleveland, OH, USMore Cleveland jobs >	Digital Marketing Specialist, Email Communication
176	Brandmuscle	https://www.linkedin.com/jobs/view/483856074?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A23%2CMSRPsearchId%3Af32c2175-ce9a-4fa2-854b-6374b92c9a50&refId=f32c2175-ce9a-4fa2-854b-6374b92c9a50&trk=jobs_jserp_job_listing_text	Cleveland, OhioMore Cleveland jobs >	Marketing Coordinator - Events & Media
177	The DMA	https://www.linkedin.com/jobs/view/493684959?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A24%2CMSRPsearchId%3Af32c2175-ce9a-4fa2-854b-6374b92c9a50&refId=f32c2175-ce9a-4fa2-854b-6374b92c9a50&trk=jobs_jserp_job_listing_text	Mayfield Heights, OH, USMore Cleveland jobs >	Marketing Manager
178	Kharismatic Solutions, Inc.	https://www.linkedin.com/jobs/view/453207991?trkInfo=searchKeywordString%3AMarketing%2CsearchLocationString%3ACleveland%252C%2BOH%2Cvertical%3Ajobs%2CpageNum%3A1%2Cposition%3A21%2CMSRPsearchId%3Af32c2175-ce9a-4fa2-854b-6374b92c9a50&refId=f32c2175-ce9a-4fa2-854b-6374b92c9a50&trk=jobs_jserp_job_listing_text	Independence, OH, USMore Independence jobs >	Sports Minded Entry Level Marketing And Advertising Associate
